Image File,Comment [Bivalent path],Bivalent length in microns,Pachytene stage,Good trace? (y/n)
WT_23.10.19_plant21_slide1_image6.1,4,50.1547,late,y
WT_23.10.19_plant21_slide1_image6.1,5,35.0974,late,y
WT_23.10.19_plant21_slide1_image6.2,1,34.4627,late,y
WT_23.10.19_plant21_slide1_image6.2,2,34.0509,late,y
WT_23.10.19_plant21_slide1_image6.2,3,40.8994,late,y
WT_23.10.19_plant21_slide1_image6.2,4,45.694,late,y
WT_23.10.19_plant21_slide1_image6.2,5,48.5863,late,y
WT_23.10.19_plant21_slide1_image7,1,42.0155,late,y
WT_23.10.19_plant21_slide1_image7,2,54.4815,late,y
WT_23.10.19_plant21_slide1_image7,3,37.6969,late,y
WT_23.10.19_plant21_slide1_image7,4,34.1353,late,y
WT_23.10.19_plant21_slide1_image7,5,46.2612,late,y
WT_23.10.19_plant21_slide1_image10,1,54.8159,late,y
WT_23.10.19_plant21_slide1_image10,2,64.9046,late,n
WT_23.10.19_plant21_slide1_image10,3,46.0381,late,n
WT_23.10.19_plant21_slide1_image10,4,37.9419,late,y
WT_23.10.19_plant21_slide1_image10,5,38.2474,late,y
WT_23.10.19_plant21_slide1_image11,1,41.5446,late,n
WT_23.10.19_plant21_slide1_image11,2,41.831,late,y
WT_23.10.19_plant21_slide1_image11,3,64.4996,late,n
WT_23.10.19_plant21_slide1_image11,4,29.3697,late,y
WT_23.10.19_plant21_slide1_image11,5,35.1922,late,y
WT_23.10.19_plant21_slide1_image13.1,1,50.4267,mid,y
WT_23.10.19_plant21_slide1_image13.1,2,29.9394,mid,y
WT_23.10.19_plant21_slide1_image13.1,3,32.794,mid,y
WT_23.10.19_plant21_slide1_image13.1,4,45.8007,mid,n
WT_23.10.19_plant21_slide1_image13.1,5,35.6429,mid,y
WT_23.10.19_plant21_slide1_image13.2,1,53.6737,mid,y
WT_23.10.19_plant21_slide1_image13.2,2,42.8286,mid,y
WT_23.10.19_plant21_slide1_image13.2,3,34.7798,mid,y
WT_23.10.19_plant21_slide1_image13.2,4,46.2165,mid,n
WT_23.10.19_plant21_slide1_image13.2,5,32.198,mid,y
WT_23.10.19_plant21_slide1_image14,1,32.2461,mid/late,y
WT_23.10.19_plant21_slide1_image14,2,31.9617,mid/late,y
WT_23.10.19_plant21_slide1_image14,3,50.7349,mid/late,y
WT_23.10.19_plant21_slide1_image14,4,35.3607,mid/late,y
WT_23.10.19_plant21_slide1_image14,5,45.2617,mid/late,y
WT_23.10.19_plant21_slide1_image15,1,42.3255,mid,y
WT_23.10.19_plant21_slide1_image15,2,35.0088,mid,y
WT_23.10.19_plant21_slide1_image15,3,53.796,mid,y
WT_23.10.19_plant21_slide1_image15,4,49.1586,mid,y
WT_23.10.19_plant21_slide1_image15,5,37.2426,mid,y
WT_15.11.19_plant22_slide2_image9,1,70.5159,late,y
WT_15.11.19_plant22_slide2_image9,2,61.6399,late,y
WT_15.11.19_plant22_slide2_image9,3,63.3812,late,y
WT_15.11.19_plant22_slide2_image9,4,44.7619,late,y
WT_15.11.19_plant22_slide2_image9,5,51.3027,late,y
WT_15.11.19_plant22_slide2_image2,1,65.7178,late,y
WT_15.11.19_plant22_slide2_image2,2,54.3845,late,y
WT_15.11.19_plant22_slide2_image2,3,40.8997,late,y
WT_15.11.19_plant22_slide2_image2,4,58.1064,late,y
WT_15.11.19_plant22_slide2_image2,5,42.2757,late,y
WT_15.11.19_plant22_slide2_image3,1,68.9619,late,y
WT_15.11.19_plant22_slide2_image3,2,68.0184,late,y
WT_15.11.19_plant22_slide2_image3,3,41.9881,late,y
WT_15.11.19_plant22_slide2_image3,4,45.6865,late,y
WT_15.11.19_plant22_slide2_image3,5,50.634,late,y
WT_15.11.19_plant22_slide2_image7,1,40.77,late,y
WT_15.11.19_plant22_slide2_image7,2,42.414,late,y
WT_15.11.19_plant22_slide2_image7,3,51.0998,late,y
WT_15.11.19_plant22_slide2_image7,4,54.9305,late,y
WT_15.11.19_plant22_slide2_image7,5,36.7315,late,y
WT_15.11.19_plant22_slide2_image8,1,49.7159,late,y
WT_15.11.19_plant22_slide2_image8,2,45.2161,late,y
WT_15.11.19_plant22_slide2_image8,3,63.8841,late,y
WT_15.11.19_plant22_slide2_image8,4,74.3804,late,y
WT_15.11.19_plant22_slide2_image8,5,53.9884,late,y
WT_15.11.19_plant22_slide2_image10,1,60.9659,late,y
